beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Tiramisu Tyranny",BrewDog,"Stout - Imperial / Double Coffee",10,0,"Jaa deze drinkt lekker weg hoor",,,,,,,4,"2023-01-09 17:55:10",https://api.untappd.com/c/1238647446,https://api.untappd.com/beer/5054904,https://api.untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,"chocolate,creamy,coffeeish",,Can,1238647446,5054904,241,https://untappd.s3.amazonaws.com/photos/2023_01_09/9c7c2be389629d51a9f96c3e732f3d8c_raw.jpg,4,3.99,"Stefan Jansen,Marcel van Heerdt,dirk lukassen,Erik Evers,Jasper Wesselink",2,0
"Meesterstuk 2022",Jopen,"Stout - Imperial / Double Pastry",11.11,0,"Duidelijk lekker een kaneel/speculaassmaak",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2023-01-09 19:04:52",https://api.untappd.com/c/1238655049,https://api.untappd.com/beer/4559079,https://api.untappd.com/brewery/620,Netherlands,Haarlem,Noord-Holland,"cinnamon,thick",,Bottle,1238655049,4559079,620,https://untappd.s3.amazonaws.com/photos/2023_01_09/a5d3d5918609ef899f924c10c79ea32e_raw.jpg,3.84,3.84,"Stefan Jansen,Marcel van Heerdt,dirk lukassen,Erik Evers,Roy van den Berg",2,0
"Here's To A Jolly Holiday","Brouwerij Kees","Barleywine - Other",13,36,"Deze heeft wel echt een mokerlekkere nasmaak, zoet als een snoepje",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2023-01-09 19:22:11",https://api.untappd.com/c/1238657197,https://api.untappd.com/beer/5115534,https://api.untappd.com/brewery/188723,Netherlands,Middelburg,Zeeland,"sweet,creamy,bubblegum,candy",,Can,1238657197,5115534,188723,https://untappd.s3.amazonaws.com/photos/2023_01_09/ebbf7a11fa1ffc719f058832603103b8_raw.jpg,3.57,3.58,"Stefan Jansen,Marcel van Heerdt,dirk lukassen,Erik Evers,Roy van den Berg,Jasper Wesselink",2,0
Melu,"Pühaste Brewery","Pale Ale - New England / Hazy",5.5,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.5,"2023-01-13 16:53:50",https://api.untappd.com/c/1239261523,https://api.untappd.com/beer/4989723,https://api.untappd.com/brewery/97950,Estonia,Tartu,"Tartu maakond","light bodied,citrusy,aromatic",,Can,1239261523,4989723,97950,https://untappd.s3.amazonaws.com/photos/2023_01_13/c73f3f8432603359bf9f3a5966e9775d_raw.jpg,3.59,3.61,"Stefan Jansen,Marcel van Heerdt,Erik Evers,Kevin Schomper,Albert Veldman",3,0
"Cuvée ‘t Huusses Mins (2021-)","Hosenhym Bierbrouwers","Belgian Quadrupel",11,40,"Een lekker verjaardagsbiertje, traktatie voor Labs",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2023-01-13 17:25:48",https://api.untappd.com/c/1239268414,https://api.untappd.com/beer/4276483,https://api.untappd.com/brewery/260462,Netherlands,Huissen,Gelderland,"whisky,sweet",,Bottle,1239268414,4276483,260462,https://untappd.s3.amazonaws.com/photos/2023_01_13/22f4a64bbb9923b70a5129407a7270f3_raw.jpg,3.59,3.63,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper,Erik Evers,Albert Veldman,dirk lukassen",3,0
"Nameless Russian Imperial Stout","Reins Garagelab","Stout - Russian Imperial",10,0,"gewoon een lekker pilske",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2023-01-13 19:53:35",https://api.untappd.com/c/1239324373,https://api.untappd.com/beer/5189509,https://api.untappd.com/brewery/532210,Netherlands,,,"malty,roasty,smoky,dark",,Bottle,1239324373,5189509,532210,https://untappd.s3.amazonaws.com/photos/2023_01_13/3867b8b8ffa0b4004dc8d69b56e270d4_raw.jpg,0,0.95,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper,Erik Evers,Roy van den Berg",1,0
"Barrel Project 21.10","Brouwerij Kees","Stout - Russian Imperial",10,45,pilsje,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2023-01-13 20:50:14",https://api.untappd.com/c/1239354566,https://api.untappd.com/beer/4598944,https://api.untappd.com/brewery/188723,Netherlands,Middelburg,Zeeland,"smoky,cognac,alcoholic",,,1239354566,4598944,188723,https://untappd.s3.amazonaws.com/photos/2023_01_13/19223c6472f64280e73566f42242733d_raw.jpg,4.05,4.01,"Stefan Jansen,Marcel van Heerdt,Erik Evers,Roy van den Berg,Kevin Schomper",2,0
"Motor Oil Christmas Special","Moersleutel Craft Brewery","Stout - Russian Imperial",12,0,"De sinaas was lekker kerstig",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2023-01-13 21:23:41",https://api.untappd.com/c/1239374648,https://api.untappd.com/beer/5060503,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"mandarin,orange",,Can,1239374648,5060503,269726,https://untappd.s3.amazonaws.com/photos/2023_01_13/d242dc9a3085bd9f3ac42eb520977d77_raw.jpg,3.88,3.88,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper,Erik Evers,Roy van den Berg",2,0
"Wanna Taste My Yule Log?","Moersleutel Craft Brewery","Stout - Imperial / Double Pastry",9,30,"Glow in the dark beer pong kinda mood",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2023-01-13 23:17:15",https://api.untappd.com/c/1239441685,https://api.untappd.com/beer/5064723,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"vanilla,chocolate",,Bottle,1239441685,5064723,269726,https://untappd.s3.amazonaws.com/photos/2023_01_13/b1ba169853841f59fbb9d6a69f1dfe87_raw.jpg,3.85,3.85,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper,Erik Evers",2,0
"Leffe Blonde / Blond","Abbaye de Leffe","Belgian Blonde",6.6,20,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.5,"2023-01-14 22:09:23",https://api.untappd.com/c/1239884914,https://api.untappd.com/beer/5940,https://api.untappd.com/brewery/5,Belgium,Leuven,"Vlaams Gewest","smooth,sweet",,Bottle,1239884914,5940,5,https://untappd.s3.amazonaws.com/photos/2023_01_14/f8864987df795a4be2c6713ff35a901b_raw.jpg,3.58,3.58,,2,0
